season,week,celebrity_name,judge_rank,audience_rank,rank_diff_rank,rank_direction_rank,survival_prob
32,2,Ariana Madix,5.0,1.0,4.0,4.0,1.0
33,3,Dwight Howard ,9.0,5.0,4.0,4.0,0.8809235752808432
33,8,Stephen Nedoroscik,5.0,1.0,4.0,4.0,0.7803606321314382
33,9,Danny Amendola,5.0,1.0,4.0,4.0,0.2298489924802043
34,2,Hilaria Baldwin,5.0,1.0,4.0,4.0,0.9886395587986081
34,3,Robert Irwin,5.0,1.0,4.0,4.0,0.9903853046880687
34,5,Jordan Chiles,5.0,1.0,4.0,4.0,0.963208840750277
34,9,Jordan Chiles,5.0,1.0,4.0,4.0,0.9070821686121872
34,10,Dylan Efron,6.0,2.0,4.0,4.0,0.7949385731582002
34,11,Elaine Hendrix,5.0,1.0,4.0,4.0,0.17057181735122262
2,1,Stacy Keibler,4.0,1.0,3.0,3.0,1.0
2,4,Tia Carrere,4.0,1.0,3.0,3.0,0.9906062076868409
5,3,Marie Osmond,4.0,1.0,3.0,3.0,0.995057634157863
5,7,Jane Seymour,6.0,3.0,3.0,3.0,0.7429359397165987
6,1,Jason Taylor,4.0,1.0,3.0,3.0,1.0
6,1,Marlee Matlin,4.0,1.0,3.0,3.0,1.0
6,8,Jason Taylor,4.0,1.0,3.0,3.0,0.7945308467612849
7,2,Lance Bass,7.0,4.0,3.0,3.0,0.9372732261255355
8,2,Lil' Kim,4.0,1.0,3.0,3.0,1.0
8,3,Chuck Wicks,6.0,3.0,3.0,3.0,0.9796947131628222
8,3,Lil' Kim,4.0,1.0,3.0,3.0,1.0
8,4,Shawn Johnson,4.0,1.0,3.0,3.0,1.0
8,4,Ty Murray,4.0,1.0,3.0,3.0,1.0
8,8,Melissa Rycroft,6.0,3.0,3.0,3.0,0.7581607451585488
9,6,Mark Dacascos,4.0,1.0,3.0,3.0,1.0
10,2,Pamela Anderson,4.0,1.0,3.0,3.0,0.9953950257853577
10,7,Erin Andrews,4.0,1.0,3.0,3.0,0.7878786323119603
11,1,Rick Fox,4.0,1.0,3.0,3.0,1.0
11,7,Rick Fox,4.0,1.0,3.0,3.0,0.821100116001455
12,3,Romeo,8.0,5.0,3.0,3.0,0.9110759635755794
12,6,Chris Jericho,7.0,4.0,3.0,3.0,0.8325473495017157
12,7,Romeo,5.0,2.0,3.0,3.0,0.739559539085731
13,7,J.R. Martinez,4.0,1.0,3.0,3.0,0.8549654696700699
14,1,Gladys Knight,4.0,1.0,3.0,3.0,0.996458652779417
14,1,Jack Wagner,4.0,1.0,3.0,3.0,0.996458652779417
14,1,Roshon Fegan,4.0,1.0,3.0,3.0,0.996458652779417
14,1,Sherri Sheperd,4.0,1.0,3.0,3.0,0.996458652779417
14,5,Roshon Fegan,5.0,2.0,3.0,3.0,0.9670815277039017
14,7,Roshon Fegan,5.0,2.0,3.0,3.0,0.8564538480339805
15,1,Shawn Johnson,4.0,1.0,3.0,3.0,0.9884189984087794
15,4,Melissa Rycroft,4.0,1.0,3.0,3.0,0.9617824465330305
15,6,Emmitt Smith,8.0,5.0,3.0,3.0,0.8177540843390397
15,9,Emmitt Smith,5.0,2.0,3.0,3.0,0.6647101363347787
16,2,Jacoby Jones,4.0,1.0,3.0,3.0,1.0
16,6,Jacoby Jones,6.0,3.0,3.0,3.0,0.8611937850357255
16,10,Jacoby Jones,4.0,1.0,3.0,3.0,0.27924987324195283
17,2,Amber Riley,4.0,1.0,3.0,3.0,1.0
17,2,Leah Remini,4.0,1.0,3.0,3.0,1.0
17,2,"Nicole ""Snooki"" Polizzi",9.0,6.0,3.0,3.0,0.9558301276768149
17,3,Amber Riley,6.0,3.0,3.0,3.0,0.9751460502885055
17,3,Elizabeth Berkley Lauren,4.0,1.0,3.0,3.0,1.0
17,3,"Nicole ""Snooki"" Polizzi",4.0,1.0,3.0,3.0,1.0
17,5,Amber Riley,6.0,3.0,3.0,3.0,0.9444442392566468
17,7,"Nicole ""Snooki"" Polizzi",5.0,2.0,3.0,3.0,0.8841125217876579
17,8,Elizabeth Berkley Lauren,6.0,3.0,3.0,3.0,0.79484392461096
17,9,Amber Riley,5.0,2.0,3.0,3.0,0.7870794130817524
18,2,Amy Purdy,4.0,1.0,3.0,3.0,0.9983620340733522
18,2,Danica McKellar,4.0,1.0,3.0,3.0,0.9983620340733522
18,8,Meryl Davis,4.0,1.0,3.0,3.0,0.8408027744564162
19,1,Randy Couture,5.0,2.0,3.0,3.0,1.0
19,4,Janel Parrish,4.0,1.0,3.0,3.0,1.0
19,5,Janel Parrish,4.0,1.0,3.0,3.0,0.989850725793231
19,6,Janel Parrish,4.0,1.0,3.0,3.0,0.9504608871997433
19,7,Janel Parrish,4.0,1.0,3.0,3.0,0.8876466092017041
19,11,Bethany Mota,4.0,1.0,3.0,3.0,0.24163562481818013
20,2,Noah Galloway,10.0,7.0,3.0,3.0,0.9116221310952167
20,5,Willow Shields,4.0,1.0,3.0,3.0,0.9760837147511796
20,7,Riker Lynch,4.0,1.0,3.0,3.0,0.8709581400238396
21,2,Alek Skarlatos,4.0,1.0,3.0,3.0,1.0
21,2,Hayes Grier,4.0,1.0,3.0,3.0,1.0
21,2,Nick Carter,4.0,1.0,3.0,3.0,1.0
21,6,Carlos PenaVega,5.0,2.0,3.0,3.0,0.9867895776699488
21,6,Nick Carter,4.0,1.0,3.0,3.0,1.0
21,9,Carlos PenaVega,4.0,1.0,3.0,3.0,0.8364657070646448
21,10,Nick Carter,4.0,1.0,3.0,3.0,0.7494078454116102
21,11,Alek Skarlatos,4.0,1.0,3.0,3.0,0.0852641792293134
22,1,Antonio Brown,4.0,1.0,3.0,3.0,1.0
22,1,Von Miller,4.0,1.0,3.0,3.0,1.0
22,8,Paige VanZant,4.0,1.0,3.0,3.0,0.8885225362940482
22,8,Wanya Morris,6.0,3.0,3.0,3.0,0.7936040480848126
23,3,Babyface,8.0,5.0,3.0,3.0,0.9008517636566258
23,9,Calvin Johnson Jr.,4.0,1.0,3.0,3.0,0.8444251752424421
23,9,James Hinchcliffe,5.0,2.0,3.0,3.0,0.7618365237672005
23,11,Jana Kramer,4.0,1.0,3.0,3.0,0.2089695700080927
24,2,Bonner Bolton,5.0,2.0,3.0,3.0,0.9724466644973643
24,2,David Ross,8.0,5.0,3.0,3.0,0.9423430965577092
24,2,Simone Biles,4.0,1.0,3.0,3.0,0.9812834321681922
24,3,Simone Biles,4.0,1.0,3.0,3.0,0.9758844392367185
25,2,Lindsey Stirling,4.0,1.0,3.0,3.0,0.9893516144186756
25,3,Sasha Pieterse,11.0,8.0,3.0,3.0,0.8364284606745871
25,7,Lindsey Stirling,6.0,3.0,3.0,3.0,0.8690680601977971
26,2,Josh Norman,6.0,3.0,3.0,3.0,0.9266462814033777
27,3,Alexis Ren,5.0,2.0,3.0,3.0,0.9903355101163358
27,5,Evanna Lynch,6.0,3.0,3.0,3.0,0.9568563453071869
27,6,DeMarcus Ware,5.0,2.0,3.0,3.0,0.9660173158414579
27,7,DeMarcus Ware,6.0,3.0,3.0,3.0,0.8719877343515123
27,8,Milo Manheim,4.0,1.0,3.0,3.0,0.87699805796677
28,4,Kate Flannery,8.0,5.0,3.0,3.0,0.8891535839300214
28,5,Hannah Brown,4.0,1.0,3.0,3.0,0.9654035532254353
28,8,Kel Mitchell,4.0,1.0,3.0,3.0,0.9347042478706409
28,10,James Van Der Beek,5.0,2.0,3.0,3.0,0.7433958414029183
28,11,Lauren Alaina,4.0,1.0,3.0,3.0,0.12572669725748098
29,6,Johnny Weir,9.0,6.0,3.0,3.0,0.8926425928024487
29,7,Justina Machado,5.0,2.0,3.0,3.0,0.9412532967725591
29,7,Monica Aldama,10.0,7.0,3.0,3.0,0.7997878460888291
29,9,AJ McLean,6.0,3.0,3.0,3.0,0.804767320012935
29,9,Justina Machado,5.0,2.0,3.0,3.0,0.8366928217398898
29,10,Johnny Weir,4.0,1.0,3.0,3.0,0.8312444522885445
29,11,Nelly,4.0,1.0,3.0,3.0,0.033467034057441225
30,6,Melora Hardin,8.0,5.0,3.0,3.0,0.8839194186420039
30,6,Olivia Jade,5.0,2.0,3.0,3.0,0.9484630822481304
30,7,Amanda Kloots,6.0,3.0,3.0,3.0,0.9087673703317024
30,8,JoJo Siwa,4.0,1.0,3.0,3.0,0.9457280534457048
31,2,Cheryl Ladd,15.0,12.0,3.0,3.0,0.8014366337272698
31,2,Trevor Donovan,4.0,1.0,3.0,3.0,1.0
31,3,Vinny Guadagnino,14.0,11.0,3.0,3.0,0.749572183519623
31,4,Heidi D'Amelio,4.0,1.0,3.0,3.0,0.9926398708483698
31,5,Daniel Durant,11.0,8.0,3.0,3.0,0.8730826327161739
32,1,Lele Pons,4.0,1.0,3.0,3.0,0.9989098757634947
32,7,Jason Mraz,4.0,1.0,3.0,3.0,0.8794619551846374
32,9,Ariana Madix,4.0,1.0,3.0,3.0,0.8791133933613494
33,2,Jenn Tran,9.0,6.0,3.0,3.0,0.9275204210583086
33,5,Stephen Nedoroscik,6.0,3.0,3.0,3.0,0.8484710461629936
34,1,Alix Earle,4.0,1.0,3.0,3.0,1.0
34,1,Lauren Jauregui,4.0,1.0,3.0,3.0,1.0
34,2,Danielle Fishel,10.0,7.0,3.0,3.0,0.9282142473865946
34,3,Jen Affleck,10.0,7.0,3.0,3.0,0.8897217579419504
34,6,Dylan Efron,7.0,4.0,3.0,3.0,0.8955728926205375
34,7,Jordan Chiles,4.0,1.0,3.0,3.0,1.0
34,10,Jordan Chiles,4.0,1.0,3.0,3.0,0.8619514812030346
1,5,Joey McIntyre,3.0,1.0,2.0,2.0,0.7404465762586246
2,1,Lisa Rinna,7.0,5.0,2.0,2.0,0.934339712789119
2,3,Tia Carrere,3.0,1.0,2.0,2.0,1.0
2,5,Tia Carrere,6.0,4.0,2.0,2.0,0.8069577799525318
3,1,Vivica A. Fox,3.0,1.0,2.0,2.0,1.0
3,1,Willa Ford,3.0,1.0,2.0,2.0,1.0
3,3,Mario Lopez,4.0,2.0,2.0,2.0,0.9538655965468577
3,6,Monique Coleman,4.0,2.0,2.0,2.0,0.8383473516095454
3,7,Mario Lopez,3.0,1.0,2.0,2.0,0.9066663666852787
4,2,Heather Mills,3.0,1.0,2.0,2.0,1.0
4,2,Joey Fatone,3.0,1.0,2.0,2.0,1.0
4,3,Apolo Anton Ohno,5.0,3.0,2.0,2.0,0.9547870034359399
4,4,Heather Mills,4.0,2.0,2.0,2.0,0.9725747821937776
4,6,Heather Mills,5.0,3.0,2.0,2.0,0.9037361416298416
4,9,Apolo Anton Ohno,3.0,1.0,2.0,2.0,0.8373904665083172
4,9,Ian Ziering,4.0,2.0,2.0,2.0,0.7267115339032212
4,10,Laila Ali,3.0,1.0,2.0,2.0,0.2650435803447021
5,1,Jane Seymour,3.0,1.0,2.0,2.0,1.0
5,1,Mel B,3.0,1.0,2.0,2.0,1.0
5,2,Marie Osmond,3.0,1.0,2.0,2.0,1.0
5,2,Mel B,4.0,2.0,2.0,2.0,0.9885105699387265
5,4,Mel B,5.0,3.0,2.0,2.0,0.9588393436486589
5,7,Helio Castroneves,3.0,1.0,2.0,2.0,0.8452793354630621
5,8,Jennie Garth,4.0,2.0,2.0,2.0,0.7608125712141751
5,9,Jennie Garth,3.0,1.0,2.0,2.0,0.8013237690209447
6,2,Shannon Elizabeth,4.0,2.0,2.0,2.0,1.0
6,3,Jason Taylor,5.0,3.0,2.0,2.0,0.9503670144316878
6,3,Marissa Jaret Winokur,10.0,8.0,2.0,2.0,0.7965932317314797
6,4,Shannon Elizabeth,3.0,1.0,2.0,2.0,0.9877204282212203
6,5,Cristian de la Fuente,5.0,3.0,2.0,2.0,0.9051971976432545
6,6,Jason Taylor,5.0,3.0,2.0,2.0,0.8851701570241727
6,9,Jason Taylor,3.0,1.0,2.0,2.0,0.8010590364346291
6,10,Cristian de la Fuente,3.0,1.0,2.0,2.0,0.2464456300731377
7,2,Toni Braxton,3.0,1.0,2.0,2.0,0.9995444421581645
7,5,Warren Sapp,4.0,2.0,2.0,2.0,0.9470428660096434
7,7,Cody Linley,5.0,3.0,2.0,2.0,0.8163524899509693
7,7,Susan Lucci,4.0,2.0,2.0,2.0,0.8664179220864198
7,8,Lance Bass,3.0,1.0,2.0,2.0,0.8005817362054488
8,1,Chuck Wicks,5.0,3.0,2.0,2.0,0.9804760575645818
8,5,Melissa Rycroft,4.0,2.0,2.0,2.0,0.9575942740731654
8,8,Shawn Johnson,3.0,1.0,2.0,2.0,0.8653148691451077
8,11,Melissa Rycroft,3.0,1.0,2.0,2.0,0.237752727181734
9,1,Mark Dacascos,6.0,4.0,2.0,2.0,1.0
9,2,Debi Mazar,4.0,2.0,2.0,2.0,0.9850407776744841
9,2,Donny Osmond,3.0,1.0,2.0,2.0,1.0
9,2,Joanna Krupa,7.0,5.0,2.0,2.0,0.9489132801724969
9,2,Kelly Osbourne,9.0,7.0,2.0,2.0,0.9169844357179637
9,3,Aaron Carter,4.0,2.0,2.0,2.0,0.9893754901407574
9,3,Joanna Krupa,3.0,1.0,2.0,2.0,1.0
9,4,Joanna Krupa,3.0,1.0,2.0,2.0,1.0
9,6,Donny Osmond,5.0,3.0,2.0,2.0,0.9697655590041199
9,8,Kelly Osbourne,3.0,1.0,2.0,2.0,0.8085486351566737
9,10,Kelly Osbourne,3.0,1.0,2.0,2.0,0.2736681529261701
10,1,Pamela Anderson,3.0,1.0,2.0,2.0,1.0
10,2,Jake Pavelka,6.0,4.0,2.0,2.0,0.957379985537183
10,9,Erin Andrews,3.0,1.0,2.0,2.0,0.8401776693612077
10,10,Evan Lysacek,3.0,1.0,2.0,2.0,0.28016464702319577
11,2,Bristol Palin,3.0,1.0,2.0,2.0,1.0
11,2,Kyle Massey,3.0,1.0,2.0,2.0,1.0
11,3,Bristol Palin,9.0,7.0,2.0,2.0,0.8508962462859304
11,4,Audrina Patridge,3.0,1.0,2.0,2.0,0.9743702659406049
11,5,Kyle Massey,7.0,5.0,2.0,2.0,0.8331295040641875
11,9,Brandy,3.0,1.0,2.0,2.0,0.8526112532162302
12,5,Petra Nemcova,6.0,4.0,2.0,2.0,0.8881514095120787
12,7,Chelsea Kane,3.0,1.0,2.0,2.0,0.8409003680231368
12,10,Kirstie Alley,3.0,1.0,2.0,2.0,0.18736110684695217
13,2,Chaz Bono,11.0,9.0,2.0,2.0,0.8031442804061928
13,2,Hope Solo,8.0,6.0,2.0,2.0,0.8996105257649686
13,6,Rob Kardashian,5.0,3.0,2.0,2.0,0.8957632057355425
13,7,Nancy Grace,6.0,4.0,2.0,2.0,0.7267039293232804
13,8,Rob Kardashian,4.0,2.0,2.0,2.0,0.7963212790651812
13,10,Ricki Lake,3.0,1.0,2.0,2.0,0.2743425989842946
14,2,Gladys Knight,11.0,9.0,2.0,2.0,0.8960716628014764
14,4,Jaleel White,6.0,4.0,2.0,2.0,0.9106320766036519
14,5,Donald Driver,3.0,1.0,2.0,2.0,1.0
14,5,Gavin DeGraw,9.0,7.0,2.0,2.0,0.7285467577802026
14,6,Donald Driver,4.0,2.0,2.0,2.0,1.0
14,9,Donald Driver,3.0,1.0,2.0,2.0,0.8591267655530948
14,9,Katherine Jenkins,4.0,2.0,2.0,2.0,0.7877565209042294
15,2,Kelly Monaco,10.0,8.0,2.0,2.0,0.8790306589910488
15,6,Gilles Marini,5.0,3.0,2.0,2.0,0.9046191548721042
15,6,Melissa Rycroft,3.0,1.0,2.0,2.0,0.9747641180720688
15,6,Shawn Johnson,4.0,2.0,2.0,2.0,0.9264651736886116
15,7,Gilles Marini,5.0,3.0,2.0,2.0,0.9359971666363697
15,10,Shawn Johnson,3.0,1.0,2.0,2.0,0.23717311131082097
16,3,Alexandra Raisman,4.0,2.0,2.0,2.0,0.9838216275914613
16,3,Kellie Pickler,3.0,1.0,2.0,2.0,1.0
16,4,Sean Lowe,8.0,6.0,2.0,2.0,0.8405585965867465
16,4,Victor Ortiz,9.0,7.0,2.0,2.0,0.7904524051015336
16,5,Alexandra Raisman,4.0,2.0,2.0,2.0,0.9605132452463271
16,5,Jacoby Jones,3.0,1.0,2.0,2.0,0.9895274541237926
16,8,Jacoby Jones,4.0,2.0,2.0,2.0,0.869139457314428
16,8,Kellie Pickler,3.0,1.0,2.0,2.0,0.9199975368707992
16,9,Kellie Pickler,3.0,1.0,2.0,2.0,0.841668464174986
16,9,Zendaya,4.0,2.0,2.0,2.0,0.7924128017336549
17,2,Brant Daugherty,7.0,5.0,2.0,2.0,0.9693366911429493
17,7,Elizabeth Berkley Lauren,5.0,3.0,2.0,2.0,0.8667103067675395
17,8,Amber Riley,3.0,1.0,2.0,2.0,0.8866694434654463
17,11,Jack Osbourne,3.0,1.0,2.0,2.0,0.2757954021420892
18,5,Meryl Davis,5.0,3.0,2.0,2.0,0.9594529095719355
18,8,James Maslow,4.0,2.0,2.0,2.0,0.8277092821153289
18,10,James Maslow,3.0,1.0,2.0,2.0,0.3489985391855418
19,1,Janel Parrish,7.0,5.0,2.0,2.0,0.9805636848690362
19,1,Tavis Smiley,7.0,5.0,2.0,2.0,0.9805636848690362
19,2,Alfonso Ribeiro,4.0,2.0,2.0,2.0,0.9934724391322274
19,3,Tommy Chong,3.0,1.0,2.0,2.0,1.0
19,7,Sadie Robertson,5.0,3.0,2.0,2.0,0.8259313396062963
19,8,Bethany Mota,3.0,1.0,2.0,2.0,0.935958208050068
19,8,Sadie Robertson,4.0,2.0,2.0,2.0,0.8938353463051647
19,9,Bethany Mota,3.0,1.0,2.0,2.0,0.8793289802300293
19,9,Sadie Robertson,4.0,2.0,2.0,2.0,0.8480484966459075
19,10,Alfonso Ribeiro,3.0,1.0,2.0,2.0,0.8131668787473184
19,10,Sadie Robertson,4.0,2.0,2.0,2.0,0.7585416543011277
20,1,Nastia Liukin,3.0,1.0,2.0,2.0,1.0
20,3,Rumer Willis,3.0,1.0,2.0,2.0,0.9915962272984631
20,3,Willow Shields,4.0,2.0,2.0,2.0,0.9713269021930596
20,5,Robert Herjavec,9.0,7.0,2.0,2.0,0.7462684561398896
20,6,Robert Herjavec,8.0,6.0,2.0,2.0,0.7195359041546462
20,6,Rumer Willis,4.0,2.0,2.0,2.0,0.8841023191955792
20,9,Rumer Willis,3.0,1.0,2.0,2.0,0.7823476377557637
20,10,Noah Galloway,3.0,1.0,2.0,2.0,0.10022625207761537
21,1,Andy Grammer,7.0,5.0,2.0,2.0,0.9700935437804765
21,1,Hayes Grier,7.0,5.0,2.0,2.0,0.9700935437804765
21,3,Tamar Braxton,3.0,1.0,2.0,2.0,0.9836519992041795
21,5,Nick Carter,5.0,3.0,2.0,2.0,0.9654445969681136
21,7,Tamar Braxton,6.0,4.0,2.0,2.0,0.8087823770378848
21,8,Bindi Irwin,3.0,1.0,2.0,2.0,0.8765271637172267
21,9,Tamar Braxton,6.0,4.0,2.0,2.0,0.7332630251128849
22,3,Jodie Sweetin,3.0,1.0,2.0,2.0,1.0
22,5,Paige VanZant,4.0,2.0,2.0,2.0,0.9149974179520712
22,6,Ginger Zee,6.0,4.0,2.0,2.0,0.8977399329043179
22,10,Ginger Zee,3.0,1.0,2.0,2.0,0.22765968544689008
23,1,Jana Kramer,3.0,1.0,2.0,2.0,1.0
23,2,James Hinchcliffe,4.0,2.0,2.0,2.0,1.0
23,3,Terra Jole,3.0,1.0,2.0,2.0,1.0
23,3,Vanilla Ice,11.0,9.0,2.0,2.0,0.7827988202981226
23,4,Terra Jole,3.0,1.0,2.0,2.0,1.0
23,5,Laurie Hernandez,5.0,3.0,2.0,2.0,0.9216676258775557
23,6,Terra Jole,7.0,5.0,2.0,2.0,0.8387817175590868
23,7,Laurie Hernandez,3.0,1.0,2.0,2.0,0.8861458463836298
23,10,Jana Kramer,4.0,2.0,2.0,2.0,0.7867210465037126
24,1,David Ross,3.0,1.0,2.0,2.0,0.998718832659171
24,1,Heather Morris,3.0,1.0,2.0,2.0,0.998718832659171
24,1,Nancy Kerrigan,3.0,1.0,2.0,2.0,0.998718832659171
24,5,David Ross,9.0,7.0,2.0,2.0,0.8080126413169795
24,5,Rashad Jennings,6.0,4.0,2.0,2.0,0.9035254039813742
24,6,Nancy Kerrigan,5.0,3.0,2.0,2.0,0.859240488785253
24,9,Normani,3.0,1.0,2.0,2.0,0.8460903942439857
25,2,Nikki Bella,9.0,7.0,2.0,2.0,0.9134831472712216
25,2,Sasha Pieterse,4.0,2.0,2.0,2.0,0.9860669954571054
25,4,Lindsey Stirling,3.0,1.0,2.0,2.0,1.0
25,5,Lindsey Stirling,3.0,1.0,2.0,2.0,0.9981173868001683
25,7,Jordan Fisher,4.0,2.0,2.0,2.0,0.9013877430201402
25,7,Nikki Bella,8.0,6.0,2.0,2.0,0.7980188069131944
25,8,Frankie Muniz,3.0,1.0,2.0,2.0,0.8495776463852776
25,9,Frankie Muniz,4.0,2.0,2.0,2.0,0.8027123755946917
25,10,Drew Scott,4.0,2.0,2.0,2.0,0.13399584119485497
25,10,Frankie Muniz,3.0,1.0,2.0,2.0,0.29811428744954416
26,1,Mirai Nagasu,3.0,1.0,2.0,2.0,0.9840748401911021
26,1,Tonya Harding,3.0,1.0,2.0,2.0,0.9840748401911021
26,4,Tonya Harding,3.0,1.0,2.0,2.0,0.3248812312366339
27,1,Alexis Ren,3.0,1.0,2.0,2.0,1.0
27,1,Juan Pablo Di Pace,3.0,1.0,2.0,2.0,1.0
27,2,Alexis Ren,4.0,2.0,2.0,2.0,0.9929688224729394
27,4,Alexis Ren,4.0,2.0,2.0,2.0,0.9897287703551254
27,5,DeMarcus Ware,4.0,2.0,2.0,2.0,0.9849711021461989
27,5,Milo Manheim,3.0,1.0,2.0,2.0,1.0
27,6,Evanna Lynch,3.0,1.0,2.0,2.0,1.0
