celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,exit_week,judge_total_score,judge_count,judge_std,week,max_week,is_eliminated,n_eliminated
Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,5,Eliminated Week 7,6,7.0,24.0,3,0.0,1,11,0,1
Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,5,Eliminated Week 6,7,6.0,26.0,3,0.5773502691896257,1,11,0,1
Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,5,Eliminated Week 9,4,9.0,21.0,3,0.0,1,11,0,1
Floyd Mayweather Jr. ,Karina Smirnoff,Athlete,Michigan,United States,30,5,Eliminated Week 4,9,4.0,18.0,3,0.0,1,11,0,1
Josie Maran,Alec Mazo,Model,California,United States,29,5,Eliminated Week 1,12,1.0,16.0,3,0.5773502691896258,1,11,1,1
Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,5,Eliminated Week 2,11,2.0,21.0,3,0.0,1,11,0,1
Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,5,1st Place,1,0.0,25.0,3,0.5773502691896257,1,11,0,1
Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,5,2nd Place,2,10.0,24.0,3,0.0,1,11,0,1
Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,5,Eliminated Week 3,10,3.0,19.0,3,0.5773502691896258,1,11,0,1
Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,5,3rd Place,3,10.0,21.0,3,0.0,1,11,0,1
Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,5,Eliminated Week 5,8,5.0,21.0,3,0.0,1,11,0,1
Cristian de la Fuente,Cheryl Burke,Actor/Actress,,Chile,34,6,3rd Place,3,10.0,21.0,3,0.0,1,11,0,0
Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,6,Eliminated Week 3,10,3.0,18.0,3,0.0,1,11,0,0
Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,6,Eliminated Week 5,8,5.0,24.0,3,0.0,1,11,0,0
Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,6,Eliminated Week 6,7,6.0,22.0,3,0.5773502691896258,1,11,0,0
Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,6,Eliminated Week 7,6,7.0,21.0,3,0.0,1,11,0,0
Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,6,Eliminated Week 9,4,9.0,18.0,3,0.0,1,11,0,0
Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,6,2nd Place,2,10.0,22.0,3,0.5773502691896258,1,11,0,0
Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,6,1st Place,1,0.0,27.0,3,0.0,1,11,0,0
Monica Seles,Jonathan Roberts,Athlete,,Yugoslavia,34,6,Eliminated Week 2,11,2.0,15.0,3,0.0,1,11,0,0
Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,6,Eliminated Week 2,12,2.0,16.0,3,0.5773502691896258,1,11,0,0
Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,6,Eliminated Week 4,9,4.0,15.0,3,0.0,1,11,0,0
Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,6,Eliminated Week 8,5,8.0,24.0,3,0.0,1,11,0,0
Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,7,Eliminated Week 1,12,1.0,18.5,3,0.28867513459481287,1,11,1,2
Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,7,Eliminated Week 6,7,6.0,16.0,3,0.5773502691896258,1,11,0,2
Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,7,Eliminated Week 7,6,7.0,18.5,3,0.28867513459481287,1,11,0,2
Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,7,Eliminated Week 9,4,9.0,20.5,3,0.28867513459481287,1,11,0,2
Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,7,Withdrew,10,2.0,21.0,3,0.5,1,11,0,2
Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,7,Eliminated Week 8,5,8.0,19.5,3,0.0,1,11,0,2
Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,7,2nd Place,2,10.0,21.5,3,0.28867513459481287,1,11,0,2
Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,7,Eliminated Week 1,13,1.0,12.0,3,0.0,1,11,1,2
Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,7,Eliminated Week 5,8,5.0,22.5,3,0.5,1,11,0,2
Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3rd Place,3,10.0,21.5,3,1.0408329997330665,1,11,0,2
Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,7,Eliminated Week 2,11,2.0,18.5,3,0.28867513459481287,1,11,0,2
Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,7,Eliminated Week 4,9,4.0,17.5,3,0.28867513459481287,1,11,0,2
Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1st Place,1,0.0,24.5,3,0.2886751345948129,1,11,0,2
Gilles Marini,Cheryl Burke,Actor/Actress,,France,33,8,2nd Place,2,11.0,24.0,3,0.0,1,11,0,0
Denise Richards,Maksim Chmerkoskiy,Actor/Actress,Illinois,United States,38,8,Eliminated Week 3,12,3.0,18.0,3,0.0,1,11,0,0
David Alan Grier,Kym Johnson,Actor/Actress,Michigan,United States,52,8,Eliminated Week 5,9,5.0,19.0,3,0.5773502691896258,1,11,0,0
Lawrence Taylor,Edyta Sliwinska,Athlete,Virginia,United States,50,8,Eliminated Week 7,7,7.0,16.0,3,0.5773502691896258,1,11,0,0
Ty Murray,Chelsie Hightower,Athlete,Arizona,United States,39,8,Eliminated Week 10,4,10.0,14.0,3,0.5773502691896258,1,11,0,0
Shawn Johnson,Mark Ballas,Athlete,Iowa,United States,17,8,1st Place,1,0.0,23.0,3,0.5773502691896258,1,11,0,0
Steve Wozniak,Karina Smirnoff,Entrepreneur,California,United States,58,8,Eliminated Week 4,10,4.0,13.0,3,0.5773502691896258,1,11,0,0
Belinda Carlisle,Jonathan Roberts,Singer/Rapper,California,United States,50,8,Eliminated Week 2,13,2.0,17.0,3,0.5773502691896258,1,11,0,0
Chuck Wicks,Julianne Hough,Singer/Rapper,Delaware,United States,29,8,Eliminated Week 8,6,8.0,20.0,3,0.5773502691896258,1,11,0,0
Lil' Kim,Derek Hough,Singer/Rapper,New York,United States,34,8,Eliminated Week 9,5,9.0,21.0,3,0.0,1,11,0,0
Steve-O,Lacey Schwimmer,TV Personality,,England,34,8,Eliminated Week 6,8,6.0,17.0,3,0.5773502691896258,1,11,0,0
Holly Madison,Dmitry Chaplin,TV Personality,Oregon,United States,30,8,Eliminated Week 4,11,4.0,18.0,3,0.0,1,11,0,0
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,26,8,3rd Place,3,11.0,23.0,3,0.5773502691896258,1,11,0,0
Ashley Hamiliton,Edyta Sliwinska,Actor/Actress,California,United States,34,9,Eliminated Week 1,16,1.0,18.9999,3,1.0,1,11,1,2
Debi Mazar,Maksim Chmerkoskiy,Actor/Actress,New York,United States,45,9,Eliminated Week 3,12,3.0,22.0,3,0.5773502691896258,1,11,0,2
Melissa Joan Hart,Mark Ballas,Actor/Actress,New York,United States,33,9,Eliminated Week 6,9,6.0,24.0,3,0.0,1,11,0,2
Mark Dacascos,Lacey Schwimmer,Actor/Actress,Hawaii,United States,45,9,Eliminated Week 7,6,7.0,28.9998,3,0.0,1,11,0,2
Chuck Liddell,Anna Trebunskaya,Athlete,California,United States,39,9,Eliminated Week 4,11,4.0,22.0,3,0.5773502691896258,1,11,0,2
Natalie Coughlin,Alec Mazo,Athlete,California,United States,27,9,Eliminated Week 5,10,5.0,26.9998,3,0.5773502691896258,1,11,0,2
Louie Vito,Chelsie Hightower,Athlete,Ohio,United States,21,9,Eliminated Week 6,8,6.0,26.9998,3,0.5773502691896258,1,11,0,2
Michael Irvin,Anna Demidova,Athlete,Florida,United States,43,9,Eliminated Week 7,7,7.0,19.0,3,0.5773502691896258,1,11,0,2
Joanna Krupa,Derek Hough,Model,,Poland,30,9,Eliminated Week 9,4,9.0,33.9999,3,0.0,1,11,0,2
Kathy Ireland,Tony Dovolani,Model,California,United States,46,9,Eliminated Week 2,14,2.0,19.9999,3,0.5773502691896258,1,11,0,2
Tom DeLay,Cheryl Burke,Politician,Texas,United States,62,9,Withdrew,13,3.0,19.9999,3,0.5773502691896258,1,11,0,2
Macy Gray,Jonathan Roberts,Singer/Rapper,Ohio,United States,42,9,Eliminated Week 1,15,1.0,18.9999,3,1.0,1,11,1,2
Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,9,Eliminated Week 8,5,8.0,31.999899999999997,3,0.5773502691896258,1,11,0,2
Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,9,2nd Place,2,10.0,30.999899999999997,3,1.7320508075688772,1,11,0,2
Donny Osmond,Kym Johnson,Singer/Rapper,Utah,United States,51,9,1st Place,1,0.0,29.999899999999997,3,0.5773502691896257,1,11,0,2
Kelly Osbourne,Louis van Amstel,TV Personality,,England,24,9,3rd Place,3,10.0,30.9998,3,0.5773502691896257,1,11,0,2
Aiden Turner,Edyta Sliwinska,Actor/Actress,,England,32,10,Eliminated Week 4,9,4.0,15.0,3,0.0,1,11,0,0
Shannen Doherty,Mark Ballas,Actor/Actress,Tennessee,United States,38,10,Eliminated Week 2,11,2.0,18.0,3,0.0,1,11,0,0
Niecy Nash,Louis van Amstel,Actor/Actress,California,United States,40,10,Eliminated Week 8,5,8.0,18.0,3,1.0,1,11,0,0
Buzz Aldrin,Ashly DelGrosso,Astronaut,New Jersey,United States,80,10,Eliminated Week 3,10,3.0,14.0,3,0.5773502691896258,1,11,0,0
Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,10,Eliminated Week 9,4,9.0,18.0,3,0.0,1,11,0,0
Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,10,2nd Place,2,10.0,23.0,3,0.5773502691896258,1,11,0,0
Pamela Anderson,Damian Whitewood,Model,,Canada,42,10,Eliminated Week 7,6,7.0,21.0,3,1.0,1,11,0,0
Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,10,1st Place,1,0.0,25.0,3,1.1547005383792517,1,11,0,0
Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,10,3rd Place,3,10.0,21.0,3,0.0,1,11,0,0
Kate Gosselin,Tony Dovolani,TV Personality,Pennsylvania,United States,35,10,Eliminated Week 5,8,5.0,16.0,3,0.5773502691896258,1,11,0,0
Jake Pavelka,Chelsie Hightower,TV Personality,Texas,United States,32,10,Eliminated Week 6,7,6.0,20.0,3,0.5773502691896258,1,11,0,0
David Hasselhoff,Kym Johnson,Actor/Actress,Maryland,United States,58,11,Eliminated Week 1,12,1.0,15.0,3,0.0,1,11,1,1
Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,11,Eliminated Week 5,8,5.0,18.0,3,0.0,1,11,0,1
Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,11,2nd Place,2,10.0,23.0,3,0.5773502691896258,1,11,0,1
Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,11,1st Place,1,0.0,24.0,3,0.0,1,11,0,1
Rick Fox,Cheryl Burke,Athlete,,Canada,41,11,Eliminated Week 7,6,7.0,22.0,3,0.5773502691896258,1,11,0,1
Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,11,Eliminated Week 8,5,8.0,19.0,3,1.1547005383792517,1,11,0,1
Margaret Cho,Louis van Amstel,Comedian,California,United States,41,11,Eliminated Week 3,10,3.0,15.0,3,0.0,1,11,0,1
Michael Bolton,Chelsie Hightower,Singer/Rapper,Connecticut,United States,57,11,Eliminated Week 2,11,2.0,16.0,3,0.5773502691896258,1,11,0,1
Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,11,Eliminated Week 9,4,9.0,23.0,3,0.5773502691896258,1,11,0,1
The Situation,Karina Smirnoff,TV Personality,New York,United States,28,11,Eliminated Week 4,9,4.0,15.0,3,0.0,1,11,0,1
Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,11,Eliminated Week 6,7,6.0,19.0,3,0.5773502691896258,1,11,0,1
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,11,3rd Place,3,10.0,18.0,3,0.0,1,11,0,1
Ralph Macchio,Karina Smirnoff,Actor/Actress,New York,United States,49,12,Eliminated Week 9,4,9.0,24.0,3,0.0,1,11,0,0
Chelsea Kane,Mark Ballas,Actor/Actress,Arizona,United States,22,12,3rd Place,3,10.0,21.0,3,0.0,1,11,0,0
Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,60,12,2nd Place,2,10.0,23.0,3,0.5773502691896258,1,11,0,0
Hines Ward,Kym Johnson,Athlete,,South Korea,35,12,1st Place,1,0.0,21.0,3,0.0,1,11,0,0
Sugar Ray Leonard,Anna Trebunskaya,Athlete,North Carolina,United States,54,12,Eliminated Week 4,9,4.0,17.0,3,0.5773502691896258,1,11,0,0
Chris Jericho,Cheryl Burke,Athlete,New York,United States,40,12,Eliminated Week 6,7,6.0,19.0,3,0.5773502691896258,1,11,0,0
Petra Nemcova,Dmitry Chaplin,Model,,Czechoslovakia,31,12,Eliminated Week 5,8,5.0,18.0,3,0.0,1,11,0,0
Mike Catherwood,Lacey Schwimmer,Radio Personality,California,United States,32,12,Eliminated Week 2,11,2.0,13.0,3,0.5773502691896258,1,11,0,0
Romeo,Chelsie Hightower,Singer/Rapper,Louisiana,United States,21,12,Eliminated Week 8,5,8.0,19.0,3,0.5773502691896258,1,11,0,0
Wendy Williams,Tony Dovolani,TV Personality,New Jersey,United States,46,12,Eliminated Week 3,10,3.0,14.0,3,0.5773502691896258,1,11,0,0
Kendra Wilkinson,Louis van Amstel,TV Personality,California,United States,25,12,Eliminated Week 7,6,7.0,18.0,3,0.0,1,11,0,0
Elisabetta Canalis,Valentin Chmerkovskiy,Actor/Actress,,Italy,33,13,Eliminated Week 2,11,2.0,15.0,3,0.0,1,11,0,1
David Arquette,Kym Johnson,Actor/Actress,Virginia,United States,40,13,Eliminated Week 7,6,7.0,18.0,3,0.0,1,11,0,1
Ricki Lake,Derek Hough,Actor/Actress,New York,United States,42,13,3rd Place,3,10.0,20.0,3,0.5773502691896258,1,11,0,1
J.R. Martinez,Karina Smirnoff,Actor/Actress,Louisiana,United States,28,13,1st Place,1,0.0,22.0,3,0.5773502691896258,1,11,0,1
Metta World Peace (Ron),Peta Murgatroyd,Athlete,New York,United States,31,13,Eliminated Week 1,12,1.0,14.0,3,0.5773502691896258,1,11,1,1
Hope Solo,Maksim Chmerkoskiy,Athlete,Washington,United States,30,13,Eliminated Week 9,4,9.0,21.0,3,0.0,1,11,0,1
Chynna Phillips,Tony Dovolani,Singer/Rapper,California,United States,43,13,Eliminated Week 4,9,4.0,22.0,3,0.5773502691896258,1,11,0,1
Kristin Cavallari,Mark Ballas,TV Personality,Colorado,United States,24,13,Eliminated Week 3,10,3.0,19.0,3,0.5773502691896258,1,11,0,1
Carson Kressley,Anna Trebunskaya,TV Personality,Pennsylvania,United States,41,13,Eliminated Week 5,8,5.0,17.0,3,0.5773502691896258,1,11,0,1
Chaz Bono,Lacey Schwimmer,TV Personality,California,United States,42,13,Eliminated Week 6,7,6.0,17.0,3,0.5773502691896258,1,11,0,1
Nancy Grace,Tristan MacManus,TV Personality,Georgia,United States,51,13,Eliminated Week 8,5,8.0,16.0,3,0.5773502691896258,1,11,0,1
Rob Kardashian,Cheryl Burke,TV Personality,California,United States,24,13,2nd Place,2,10.0,16.0,3,0.5773502691896258,1,11,0,1
William Levy,Cheryl Burke,Actor/Actress,,Cuba,31,14,3rd Place,3,10.0,24.0,3,0.0,1,11,0,0
Jack Wagner,Anna Trebunskaya,Actor/Actress,Missouri,United States,52,14,Eliminated Week 3,11,3.0,23.0,3,0.5773502691896258,1,11,0,0
Sherri Sheperd,Valentin Chmerkovskiy,Actor/Actress,Illinois,United States,44,14,Eliminated Week 4,10,4.0,23.0,3,0.5773502691896258,1,11,0,0
Jaleel White,Kym Johnson,Actor/Actress,California,United States,35,14,Eliminated Week 7,7,7.0,26.0,3,0.5773502691896257,1,11,0,0
Roshon Fegan,Chelsie Hightower,Actor/Actress,California,United States,20,14,Eliminated Week 8,6,8.0,23.0,3,0.5773502691896258,1,11,0,0
Melissa Gilbert,Maksim Chmerkoskiy,Actor/Actress,California,United States,47,14,Eliminated Week 8,5,8.0,20.0,3,0.5773502691896258,1,11,0,0
Martina Navratilova,Tony Dovolani,Athlete,,Czechoslovakia,55,14,Eliminated Week 2,12,2.0,20.0,3,0.5773502691896258,1,11,0,0
Donald Driver,Peta Murgatroyd,Athlete,Texas,United States,37,14,1st Place,1,0.0,21.0,3,0.0,1,11,0,0
Gavin DeGraw,Karina Smirnoff,Singer/Rapper,New York,United States,35,14,Eliminated Week 5,9,5.0,20.0,3,0.5773502691896258,1,11,0,0
Gladys Knight,Tristan MacManus,Singer/Rapper,Georgia,United States,67,14,Eliminated Week 6,8,6.0,23.0,3,0.5773502691896258,1,11,0,0
Katherine Jenkins,Mark Ballas,Singer/Rapper,,Wales,31,14,2nd Place,2,10.0,26.0,3,0.5773502691896257,1,11,0,0
Maria Menounos,Derek Hough,TV Personality,Massachusetts,United States,33,14,Eliminated Week 9,4,9.0,21.0,3,0.0,1,11,0,0
Gilles Marini,Peta Murgatroyd,Actor/Actress,,France,36,15,Eliminated Week 8,6,8.0,24.0,3,0.0,1,11,0,1
Sabrina Bryan,Louis van Amstel,Actor/Actress,California,United States,28,15,Eliminated Week 6,8,6.0,22.5,3,0.0,1,11,0,1
Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,61,15,Eliminated Week 8,7,8.0,19.0,3,0.28867513459481287,1,11,0,1
Kelly Monaco,Valentin Chmerkovskiy,Actor/Actress,Pennsylvania,United States,36,15,3rd Place,3,10.0,21.5,3,0.28867513459481287,1,11,0,1
Apolo Anton Ohno,Karina Smirnoff,Athlete,Washington,United States,30,15,Eliminated Week 9,5,9.0,22.0,3,0.28867513459481287,1,11,0,1
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,43,15,Eliminated Week 9,4,9.0,24.5,3,0.2886751345948129,1,11,0,1
Shawn Johnson,Derek Hough,Athlete,Iowa,United States,20,15,2nd Place,2,10.0,22.0,3,0.7637626158259734,1,11,0,1
Pamela Anderson,Tristan MacManus,Model,,Canada,45,15,Eliminated Week 1,13,1.0,17.0,3,0.28867513459481287,1,11,1,1
Helio Castroneves,Chelsie Hightower,Racing Driver,,Brazil,37,15,Eliminated Week 3,10,3.0,21.5,3,0.28867513459481287,1,11,0,1
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,35,15,Eliminated Week 2,12,2.0,20.5,3,0.28867513459481287,1,11,0,1
Drew Lachey,Anna Trebunskaya,Singer/Rapper,Ohio,United States,36,15,Eliminated Week 3,11,3.0,21.5,3,0.28867513459481287,1,11,0,1
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,21,15,Eliminated Week 4,9,4.0,19.5,3,0.0,1,11,0,1
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,29,15,1st Place,1,0.0,21.0,3,0.0,1,11,0,1
Ingo Rademacher,Kym Johnson,Actor/Actress,,Germany,41,16,Eliminated Week 9,5,9.0,20.0,3,0.5773502691896258,1,11,0,0
Zendaya,Valentin Chmerkovskiy,Actor/Actress,California,United States,16,16,2nd Place,2,10.0,24.0,3,0.0,1,11,0,0
Dorothy Hamill,Tristan MacManus,Athlete,Illinois,United States,56,16,Withdrew,12,2.0,21.0,3,0.0,1,11,0,0
Victor Ortiz,Lindsay Arnold,Athlete,Kansas,United States,26,16,Eliminated Week 6,8,6.0,18.0,3,0.0,1,11,0,0
Alexandra Raisman,Mark Ballas,Athlete,Massachusetts,United States,18,16,Eliminated Week 10,4,10.0,21.0,3,0.0,1,11,0,0
Jacoby Jones,Karina Smirnoff,Athlete,Louisiana,United States,28,16,3rd Place,3,10.0,20.0,3,0.5773502691896258,1,11,0,0
D. L. Hughley,Cheryl Burke,Comedian,Virginia,United States,50,16,Eliminated Week 5,9,5.0,12.0,3,0.0,1,11,0,0
Andy Dick,Sharna Burgess,Comedian,South Carolina,United States,47,16,Eliminated Week 7,7,7.0,17.0,3,0.5773502691896258,1,11,0,0
Wynonna Judd,Tony Dovolani,Singer/Rapper,Kentucky,United States,48,16,Eliminated Week 3,11,3.0,18.0,3,0.0,1,11,0,0
Kellie Pickler,Derek Hough,Singer/Rapper,North Carolina,United States,26,16,1st Place,1,0.0,21.0,3,0.0,1,11,0,0
Lisa Vanderpump,Gleb Savchenko,TV Personality,,England,52,16,Eliminated Week 4,10,4.0,18.0,3,0.0,1,11,0,0
Sean Lowe,Peta Murgatroyd,TV Personality,Texas,United States,29,16,Eliminated Week 8,6,8.0,19.0,3,0.5773502691896258,1,11,0,0
Valerie Harper,Tristan MacManus,Actor/Actress,New York,United States,74,17,Eliminated Week 4,10,4.0,21.0,3,0.0,1,11,0,0
Brant Daugherty,Peta Murgatroyd,Actor/Actress,Ohio,United States,28,17,Eliminated Week 8,7,8.0,22.0,3,0.5773502691896258,1,11,0,0
Elizabeth Berkley Lauren,Valentin Chmerkovskiy,Actor/Actress,Michigan,United States,39,17,Eliminated Week 9,6,9.0,24.0,3,0.0,1,11,0,0
Leah Remini,Tony Dovolani,Actor/Actress,New York,United States,43,17,Eliminated Week 10,5,10.0,21.0,3,0.0,1,11,0,0
